Broth,Antibiotic,Incubation time,Isolate,log(CFU),Average LB
TS,No antibiotic,4 hours,NCTC13441,8.56,
TS,No antibiotic,4 hours,NCTC13441,8.38,
TS,No antibiotic,4 hours,NCTC13441,8.52,8.50
TS,Antibiotic added,4 hours,NCTC13441,8.49,
TS,Antibiotic added,4 hours,NCTC13441,8.57,
TS,Antibiotic added,4 hours,NCTC13441,8.47,8.48
BPW,No antibiotic,4 hours,NCTC13441,8.11,
BPW,No antibiotic,4 hours,NCTC13441,7.99,
BPW,No antibiotic,4 hours,NCTC13441,7.87,8.16
BPW,Antibiotic added,4 hours,NCTC13441,7.85,
BPW,Antibiotic added,4 hours,NCTC13441,8.29,
BPW,Antibiotic added,4 hours,NCTC13441,8.24,8.39
TS,No antibiotic,18 hours,NCTC13441,7.18,
TS,No antibiotic,18 hours,NCTC13441,7.45,
TS,No antibiotic,18 hours,NCTC13441,8.40,8.38
TS,Antibiotic added,18 hours,NCTC13441,9.23,
TS,Antibiotic added,18 hours,NCTC13441,9.90,
TS,Antibiotic added,18 hours,NCTC13441,9.90,8.26
BPW,No antibiotic,18 hours,NCTC13441,7.73,
BPW,No antibiotic,18 hours,NCTC13441,7.46,
BPW,No antibiotic,18 hours,NCTC13441,9.41,9.88
BPW,Antibiotic added,18 hours,NCTC13441,9.72,
BPW,Antibiotic added,18 hours,NCTC13441,9.90,
BPW,Antibiotic added,18 hours,NCTC13441,9.90,9.86
